Framework Topic,Status,Term,Patterns,,,,Term Type,Source,Topic,
Benefits/Services,Finalized (SET) pattern development,family-building coverage,"[' cover', 'benefits', 'insurance', 'services', 'support'],['family( |-)(building|form|planning)', 'pre(-)?natal care'],[7,15]",-,-,-,practice,ILPA Due Dilligence Questionanaire (DDQ) 2.0  - Institutional Limited Partners Association (ILPA),family benefits,
Benefits/Services,Finalized (SET) pattern development,family violence leave,"['family violence'],[' leave'],[7,15]",-,-,-,practice,ILPA Due Dilligence Questionanaire (DDQ) 2.0  - Institutional Limited Partners Association (ILPA),family benefits,
Benefits/Services,Finalized (SET) pattern development,day care services,"['service', 'support', 'reimburs', ' provid(e|ing)', ' (giv(e|ing)|gave )', ' offer', ' inclu(d|sive)', ' add(ed|ing|s)? ', 'package', 'facilit'],['day( |-)?care'],[7,15]",-,-,-,practice,Diversity and Inclusion Ratings - Diversity and Inclusion Ratings,family benefits,
Benefits/Services,Finalized (SET) pattern development,paid secondary carer leave,"[' provid(e|ing)', ' (giv(e|ing)|gave )', ' offer', ' inclu(d|sive)', ' add(ed|ing|s)? '],['paid(.*)leave', 'leave(.*)paid'],['(secondary|tertiary|non(-)primary care(r|giver))'],[7,7,7,15]",-,-,-,practice,Gender Benchmark - World Benchmarking Alliance,family benefits,
Benefits/Services,Finalized (SET) pattern development,benefits gap,"[' gap ', 'differen', '(un|in)equal', 'inconsisten', 'disparit', 'discrepanc'],['benefits', 'coverage', ' leave polic'],['employee', 'work(er|force)', 'contractor',  'compos(e|ition)', 'demographic', 'type'],[7,7,7,15]",-,-,-,outcome,Gender Benchmark - World Benchmarking Alliance,other benefits,
Benefits/Services,Finalized (SET) pattern development,benefits uptake,"['uptake', ' us(e(d|s)?|ing) ', 'advantage of'],['benefits', 'coverage', ' leave'],[7,15]",-,-,-,outcome,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,other benefits,
Benefits/Services,Finalized (SET) pattern development,covered healthcare premium,"[' provid(e|ing)', ' (giv(e|ing)|gave )', ' offer', ' inclu(d|sive)', ' add(ed|ing|s)? ', 'package', ' cover'],['premium'],['health( |-)?care'],[7,5,7,15]",-,-,-,practice,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,healthcare benefits,
Benefits/Services,Finalized (SET) pattern development,emergency back-up child/elder care services,"['emergency', 'back( |-)?up'],[' care'],['child', 'elder'],[5,7,5,15]",-,-,-,practice,ILPA Due Dilligence Questionanaire (DDQ) 2.0  - Institutional Limited Partners Association (ILPA),family benefits,
Benefits/Services,Finalized (SET) pattern development,gender affirmation/confirmation care,"['surger(ies|y)', 'care', 'services', 'coverage', 'leave'],['gender'],['confirm', 'affirm'],[5,5,5,15]",-,-,-,practice,ILPA Due Dilligence Questionanaire (DDQ) 2.0  - Institutional Limited Partners Association (ILPA),healthcare benefits,
Benefits/Services,Finalized (SET) pattern development,reproductive health coverage,"[' provid(e|ing)', ' (giv(e|ing)|gave )', ' offer', ' inclu(d|sive)', ' add(ed|ing|s)? '],[' cover', 'benefits', 'insurance', 'services', 'support'],['reproductive health', 'birth control', 'contraception', 'abortion', 'pap smear', 'breast exam', 'well-woman visit', '(hiv|sti) (counsel|screen|test)', 'hpv vaccine'],[7,7,7,15]",-,-,-,practice,PI recommendation,healthcare benefits,
Benefits/Services,Finalized (SET) pattern development,medical benefits/heathcare,"[' provid(e|ing)', ' (giv(e|ing)|gave )', ' offer', ' inclu(d|sive)', ' add(ed|ing|s)? '],[' cover', 'benefits', 'insurance'],['medical'],[7,7,7,15]","[' provid(e|ing)', ' (giv(e|ing)|gave )', ' offer', ' inclu(d|sive)', ' add(ed|ing|s)? '],['healthcare'],[7,15]",-,-,practice,HRC 2023 Corporate Equality Index - Human Rights Campaign,healthcare benefits,
Benefits/Services,Finalized (SET) pattern development,soft benefits,"[' provid(e|ing)', ' (giv(e|ing)|gave )', ' offer', ' inclu(d|sive)', ' add(ed|ing|s)? '],['benefits'],['soft'],[7,7,7,15]",-,-,-,practice,HRC 2023 Corporate Equality Index - Human Rights Campaign,accommodations,
Benefits/Services,Finalized (SET) pattern development,accommodations-accessibility,"['accommodat'],[' be(ing)? ', 'consider', 'provid(e(d)?|ing) ', 'cater', 'includ(e|ing)', 'prepare', 'reasonable', 'flexib', 'request', 'fail(s|ed)? to'],[7,15]","['accessib'],['strengthen', 'bolster', 'emphasi(s|z)', 'promot(e(d|s)?|ing|ion(s)?) ', ' be(ing)? ', 'consider', 'provid(e(d)?|ing) ', 'cater', 'includ(e|ing)', 'prepare'],[7,15]",-,-,practice,PI recommendation,accommodations,
,,,,,,,,,,
Community-Action,Finalized (SET) pattern development,social license,"['social license'],['gain', 'los(e|t)', 'earn', 'ke(ep|pt)', 'retain', 'maintain', 'protect', 'appeal', 'cultivate', 'preserve', 'sustain', 'uphold', 'support'],[7,15]","['gain', 'los(e|t)', 'earn', 'ke(ep|pt)', 'retain', 'maintain', 'protect', 'appeal', 'cultivate', 'preserve', 'sustain', 'uphold', ' build(ing)? '],['approv(e|al)', 'permi(t|ssion)', 'favo(u)?r', 'accept', 'authorize', 'allow', 'endorse', 'license', 'assent', 'consent', '(good|positive)( )?(will|faith|graces|opinion|reputation|light|relationship)'],['local', 'resident', 'nearby', 'adjacent', 'neighborhood'],[7,7,10,15]",-,-,outcome,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,other community actions,
Community-Action,Finalized (SET) pattern development,support local businesses,"['local', 'resident', 'nearby', 'adjacent', 'neighborhood'],['business', 'partner', ' compan(ies|y)', 'enterprise', 'entrepreneur'],['promot(e(d|s)?|ing|ion(s)?) ', 'boost', 'strengthen', 'bolster', 'endors', 'sponsor'],[5,7,8,15]",-,-,-,practice,Gender Benchmark - World Benchmarking Alliance,company actions for community development,
Community-Action,Finalized (SET) pattern development,backlash/resistance-local community,"['backlash', 'critici(sm|ze)', 'out(cry|rage)', ' (anger|angry) ', 'fury', 'push(-| )?back', ' dissent', 'object', 'complain', 'air(ed) grievance'],['local', 'resident', 'nearby', 'adjacent', 'neighborhood'],[7,15]",-,-,-,outcome,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,other community actions,
Community-Action,Finalized (SET) pattern development,conflict/clash-local community,"['conflict', 'clash', 'violen(t|ce)', 'physical dispute'],['local', 'resident', 'nearby', 'adjacent', 'neighborhood'],[7,15]",-,-,-,outcome,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,other community actions,
Community-Action,Finalized (SET) pattern development,protest-local community,"['protest', 'march', 's(at|it)-in', 'picket', 'walk(-| )out'],['local', 'resident', 'nearby', 'adjacent', 'neighborhood'],[7,15]",-,-,-,outcome,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,other community actions,
Community-Action,Finalized (SET) pattern development,divest-local community,"['divest'],['local', 'resident', 'nearby', 'adjacent', 'neighborhood'],[7,15]",-,-,-,outcome,from Fall 2021 list,other community actions,
Community-Action,Finalized (SET) pattern development,lawsuit/litigation-local community,"['lawsuit', ' su(e(d)?|ing) ', 'litigat', ' court ', 'class(- | )?action'],['local', 'resident', 'nearby', 'adjacent', 'neighborhood'],[5,15]",-,-,-,outcome,from Fall 2021 list,other community actions,
Community-Action,Finalized (SET) pattern development,stakeholder engagement,"['communicat', 'negotiat', 'cooperat', 'consent', 'engage', 'convers', 'discuss', 'dialogue', 'inform', 'disclose', 'collaborat', 'participat', 'decision(-| )?making', 'coordinat', 'govern', 'ownership'],['communit', 'local', 'resident', 'nearby', 'adjacent', 'neighborhood', 'stakeholder'],[5,15]",-,-,-,practice,PI recommendation,collaboration,
Community-Action,Finalized (SET) pattern development,programs/initiatives-stakeholder engagement,"['program', 'initiative', 'campaign', 'polic(ies|y)', 'procedure'],['communit', 'local', 'resident', 'nearby', 'adjacent', 'neighborhood', 'stakeholder'],['communicat', 'negotiat', 'cooperat', 'consent', 'engage', 'convers', 'discuss', 'dialogue', 'inform', 'disclose', 'collaborat', 'participat', 'decision(-| )?making', 'coordinat', 'govern', 'ownership'],[10,7,10,15]",-,-,-,practice,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,collaboration,
Community-Action,Finalized (SET) pattern development,harassment-local community,"['harass'],['local', 'resident', 'nearby', 'adjacent', 'neighborhood'],[10,15]",-,-,-,outcome,from Fall 2021 list,other community actions,
Community-Action,Finalized (SET) pattern development,partnership-local community,"['partner'],['local', 'resident', 'nearby', 'adjacent', 'neighborhood'],[10,15]",-,-,-,practice,PI recommendation,company actions for community development,
Community-Action,Finalized (SET) pattern development,hiring/recruitment-local community,"['employ', 'work(er|force)', 'contractor',  'compos(e|ition)', 'demographic', ' hir(e(s|d)?|ing) ', 'recruit'],['local', 'resident', 'nearby', 'adjacent', 'neighborhood'],[10,15]","[' hir(e(s|d)?|ing) ', 'recruit', 'attract', '(bring|draw(n)?) (in|to)'],['employ', 'work(er|force)', 'contractor', ' position', 'opportunit', 'opening', 'seek(er|ing)', 'applicant', 'vacanc'],['local', 'resident', 'nearby', 'adjacent', 'neighborhood'],[10,10,10,15]","['welcom(e|ing)', 'embrac', 'celebrat', 'proud'],['employ', 'build(ing)? a (team|work(force|place)?)'],['local', 'resident', 'nearby', 'adjacent', 'neighborhood'],[10,10,10,15]",-,practice,PI recommendation,company actions for community development,
Community-Action,Finalized (SET) pattern development,hire goal/quota-local community,"['quota', ' goal', 'target'],['employ ', 'work(er|force)', 'contractor',  'compos(e|ition)', 'demographic', ' hir(e(s|d)?|ing) ', 'recruit'],['local', 'resident', 'nearby', 'adjacent', 'neighborhood'],[10,10,10,15]",-,-,-,practice,from Fall 2021 list,company actions for community development,
Community-Action,Finalized (SET) pattern development,impacts/externalities-environmental,"['environment', 'land', 'resource', 'natur(e|al)', 'water', 'air', 'area', 'ecosystem', 'biome', 'animal', 'vegetation', 'plants', 'organism', 'soil'],['impact', 'damage', 'externalit', '(a|e)ffect', 'pollut', 'exploit'],[6,15]",-,-,-,outcome,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,environmental justice,
Community-Action,Finalized (SET) pattern development,impacts/externalities-env justice,"['communit', 'local resident', 'town', 'city', 'village', 'municipality', 'neighborhood', 'trib(e|al)'],['impact', 'damage', 'externalit', '(a|e)ffect', 'exploit'],[6,15]",-,-,-,outcome,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,environmental justice,
Community-Action,Finalized (SET) pattern development,impacts/externalities-social justice,"['communit', 'social'],['impact', 'damage', 'externalit', '(a|e)ffect', 'exploit'],[6,15]",-,-,-,outcome,As You Sow - Racial Justice Scorecard (DEI METRICS MAPPING Spreadsheet),other community actions,
Community-Action,Finalized (SET) pattern development,free prior and informed consent,"['free(.*)prior(.*)and informed consent', ' fpic '],['free(.*)prior(.*)and informed consent', ' fpic '],[7,15]",-,-,-,practice,PI recommendation,collaboration,
Community-Action,Finalized (SET) pattern development,community investment,"['invest(s|ed|ment)? in'],['communit', 'local'],[6,15]","['philanthrop', 'contribut', 'charit(y|able)', ' donat', ' fund', ' endow', ' sponsor',  'pledg', ' grant', 'invest in'],['communit', 'local', 'town', 'city', 'village', 'municipality', 'neighborhood', 'trib(e|al)'],[6,15]",-,-,practice,PI recommendation,company actions for community development,
Community-Action,Finalized (SET) pattern development,fines/penalties-environmental justice,"[' fine', 'penalt', 'compensat', ' pa(id|y)', 'monetary relief', 'reparation'],['communit', 'local resident', 'town', 'city', 'village', 'municipality', 'neighborhood', 'trib(e|al)', 'environment'],['impact', 'damage', 'externalit', '(a|e)ffect', 'exploit'],[10,10,10,15]",-,-,-,outcome,As You Sow - Racial Justice Scorecard (DEI METRICS MAPPING Spreadsheet),environmental justice,
Community-Action,Finalized (SET) pattern development,community development,"['philanthrop', 'contribut', 'charit(y|able)', ' donat', ' fund', ' endow', ' sponsor', 'benef', ' (giv(e|ing)|gave )', 'gift', 'pledg', ' grant', 'invest in', ' aid ', 'support'],['community develop', ' cdfi(s)? '],[6,15]",-,-,-,practice,As You Sow - Racial Justice Scorecard (DEI METRICS MAPPING Spreadsheet),company actions for community development,
Community-Action,Finalized (SET) pattern development,community engagement,"['engage', 'build a relationship'],['communit'],[5,15]",-,-,-,practice,As You Sow - Racial Justice Scorecard (DEI METRICS MAPPING Spreadsheet),collaboration,
Community-Action,Finalized (SET) pattern development,philanthropy-education,"['philanthrop', 'contribut', 'charity', ' donat', ' fund', ' endow', ' sponsor', 'gift', ' grant', 'pledg'],['education', 'student', 'youth'],[10,15]",-,-,-,practice,Corporate Racial Equity Tracker - JUST Capital,company actions for community development,
Community-Action,Finalized (SET) pattern development,philanthropy-financial,"['philanthrop', 'contribut', 'charit(y|able)', ' donat', ' fund', ' endow', ' sponsor', 'gift', 'pledg', ' grant', 'invest in'],['\$', 'million', 'thousand', 'billion'],[10,15]","['philanthrop', 'charit(y|able)', ' donat', ' fund', ' endow', ' sponsor', 'gift', 'pledg', ' grant', 'invest in'],['well(-| )?being', 'communit', '(led|lead|owned) business'],[10,15]",-,-,practice,As You Sow - Racial Justice Scorecard (DEI METRICS MAPPING Spreadsheet),company actions for community development,
Community-Action,Finalized (SET) pattern development,philanthropy-pro bono,"['pro( |-)?bono'],['philanthrop', 'contribut', 'charity', ' donat', ' fund', ' endow', ' sponsor', ' provid(e|ing)', ' (giv(e|ing)|gave )', ' offer', 'gift', 'pledg', ' grant'],['communit', 'local', 'town', 'city', 'village', 'municipality', 'neighborhood', 'trib(e|al)'],[10,10,10,15]",-,-,-,practice,HRC 2023 Corporate Equality Index - Human Rights Campaign,company actions for community development,
Community-Action,Finalized (SET) pattern development,violation of environmental regulations,"['violat', 'break', 'infract', 'breach', 'defy', 'disobey', 'disregard', 'disrupt', 'infring'],['regulation', 'rule', 'standard', 'policy', 'law', 'legislation', 'mandate', 'requirement', 'procedure', 'statute', 'code'],['environment'],[7,7,7,15]",-,-,-,practice,As You Sow - Racial Justice Scorecard (DEI METRICS MAPPING Spreadsheet),environmental justice,
Community-Action,Finalized (SET) pattern development,report policies-stakeholder,"[' report', 'disclos', 'publish', 'describ', 'detail', 'reveal', 'ma(de|k(e|ing)) public'],['polic(ies|y)', 'procedure'],['local', 'resident', 'nearby', 'adjacent', 'neighborhood', 'stakeholder'],[7,7,7,15]",-,-,-,practice,Diversity and Inclusion Ratings - Diversity and Inclusion Ratings,other community actions,
Community-Action,Finalized (SET) pattern development,track policies-stakeholder,"[' track', 'document', 'record', ' log(ged|s)? ', '(collect|compil|gather)(e|ed|es|ing|s) (data|info)'],['polic(ies|y)', 'procedure'],['local', 'resident', 'nearby', 'adjacent', 'neighborhood', 'stakeholder'],[7,7,7,15]",-,-,-,practice,Diversity and Inclusion Ratings - Diversity and Inclusion Ratings,other community actions,
,,,,,,,,,,
Customer-Inclusiveness,Finalized (SET) pattern development,boycott-customer,"['boycott', '(stop|refuse to|avoid) (buy|use)'],['consumer', 'user', 'client', 'customer', 'purchaser', ' public', '(nation|world)(-| )?wide', 'global', 'shopper'],[7,15]",-,-,-,outcome,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,other customer inclusiveness,
Customer-Inclusiveness,Finalized (SET) pattern development,backlash/resistance - public,"['backlash', 'critici(sm|ze)', 'out(cry|rage)', ' (anger|angry) ', 'fury', 'push(-| )?back', 'dissent', 'object', 'complain', 'air(ed) grievance', 'protest'],['(social)? media', 'wide(-| )?spread', '(from the|very) public', 'consumer', 'user', 'client', 'customer', 'purchaser', '(nation|world)(-| )?wide', 'global', 'shopper'],[7,15]",-,-,-,outcome,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,other customer inclusiveness,
Customer-Inclusiveness,Finalized (SET) pattern development,capture diverse customer base,"['capture', 'attract', 'understand', 'appeal', 'reach', 'expose' 'resonat', 'identify'],['divers(e|ity|ify)', 'inclusi', 'wide', 'differ(ing|ent)', 'vari(ous|ety)'],['consumer', 'user', 'client', 'customer', 'purchaser', ' public', 'audience', 'sell'],[10,10,10,15]",-,-,-,outcome,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,other customer inclusiveness,
Customer-Inclusiveness,Finalized (SET) pattern development,divest-customer,"['divest'],['shopper', 'consumer', 'user', 'client', 'customer', 'purchaser', ' public'],[7,15]",-,-,-,outcome,from Fall 2021 list,other customer inclusiveness,
Customer-Inclusiveness,Finalized (SET) pattern development,lawsuit/litigation-customer,"['lawsuit', ' su(e(d)?|ing)', 'litigat', ' court ', 'class(- | )?action'],['consumer', 'user', 'client', 'customer', 'purchaser', 'shopper'],[5,15]",-,-,-,outcome,from Fall 2021 list,other customer inclusiveness,
Customer-Inclusiveness,Finalized (SET) pattern development,reputation-customer,"['reputation', 'known for', 'report', 'notori(ety|ous)', 'well(-| )known', 'famous'],['brand', 'compan(y|ies)', 'firm', 'business', 'industry'],['shopper', 'consumer', 'user', 'client', 'customer', 'purchaser', ' public'],[10,10,10,15]",-,-,-,outcome,from Fall 2021 list,other customer inclusiveness,
Customer-Inclusiveness,Finalized (SET) pattern development,trust-customer,"[' trust'],['consumer', 'user', 'client', 'customer', 'purchaser', 'shopper'],[7,15]",-,-,-,outcome,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,other customer inclusiveness,
Customer-Inclusiveness,Finalized (SET) pattern development,branding,"['brand', 'reputation', 'known for', 'notori(ety|ous)', 'well(-| )known', 'famous'],['substitut', 'interchang', 'flexible',  'vari(ous|ety)', 'damag', 'positive', 'negative'],['consumer', 'user', 'client', 'customer', 'purchaser', 'shopper'],[7,7,15,15]",-,-,-,practice,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,other customer inclusiveness,
Customer-Inclusiveness,Finalized (SET) pattern development,products/service design,"['service', 'product(s)? '],['substitut', 'interchang', 'flexible',  'vari(ous|ety)', 'positive', 'negative', 'innovat'],['consumer', 'user', 'client', 'customer', 'purchaser', 'shopper'],[7,7,15,15]",-,-,-,practice,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,other customer inclusiveness,
Customer-Inclusiveness,Finalized (SET) pattern development,firm-customer information transfer,"['information transfer', 'communicat', 'explain', 'comprehend', 'understand', 'describe', '(share|transfer) (information|knowledge|understanding|explanation)', 'explain'],['brand', 'company', 'business', 'firm'],['shopper', 'consumer', 'user', 'client', 'customer', 'purchaser', ' public'],[10,5,10,15]",-,-,-,practice,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,other customer inclusiveness,
Customer-Inclusiveness,Finalized (SET) pattern development,management-PDMD,"['manage'],['(product(s)? |service|feature) (design|marketing|branding|advertising|delivery)'],[7,15]",-,-,-,practice,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,other customer inclusiveness,
Customer-Inclusiveness,Finalized (SET) pattern development,marketing/advertising,"['market', 'advertis', 'promotion(s|al)', 'display', 'depict'],['substitut', 'interchang', 'flexible', 'vari(ous|ety)', 'damag', 'positive', 'negative'],['consumer', 'user', 'client', 'customer', 'purchaser', 'shopper'],[7,7,15,15]",-,-,-,practice,HRC 2023 Corporate Equality Index - HRC 2023 Corporate Equality Index,other customer inclusiveness,
Customer-Inclusiveness,Finalized (SET) pattern development,programs/initiatives-customer,"['program', 'initiative', 'campaign', 'polic(ies|y)'],['consumer', 'user', 'client', 'customer', 'purchaser', 'promote(.*)(brand|product(s)? |service|new|upcoming|release|effort|current|recent|launch)', 'advertise'],[7,15]","['program', 'initiative', 'campaign', 'polic(ies|y)'],['consumer', 'user', 'client', 'customer', 'purchaser', 'shopper'],['offering', 'service', 'product(s)? ', 'feature'],[10,10,10,15]",-,-,practice,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,other customer inclusiveness,
Customer-Inclusiveness,Finalized (SET) pattern development,client satisfaction ratio,"['(likely to|will) recommend', 'satisf(action|ied)', 'happy with'],['consumer', 'user', 'client', 'customer', 'purchaser', 'shopper'],[7,15]",-,-,-,outcome,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,other customer inclusiveness,
Customer-Inclusiveness,Finalized (SET) pattern development,product design-customer,"['service', 'product(s)? '],['serve', 'support', 'benefit', 'tailor', 'specific', '(meant|created) for', 'with(.*)in mind'],['consumer', 'user', 'client', 'customer', 'purchaser', 'shopper'],[7,7,15,15]",-,-,-,practice,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,other customer inclusiveness,
Customer-Inclusiveness,Finalized (SET) pattern development,new access to product/services,"['access'],['product(s)? ', 'service', 'consumer', 'user', 'client', 'customer', 'purchaser', 'shopper', 'buyer'],['new', 'recent', 'additional', 'more', 'greater', 'further', 'expand'],[7,10,10,15]",-,-,-,outcome,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,other customer inclusiveness,
Customer-Inclusiveness,Finalized (SET) pattern development,client protection policy,"['polic(ies|y)', 'system', 'procedure'],['protect'],['consumer', 'user', 'client', 'customer', 'purchaser', 'buyer', 'shopper'],[7,7,7,15]",-,-,-,practice,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,support/feedback system,
Customer-Inclusiveness,Finalized (SET) pattern development,client savings premium,"['consumer', 'user', 'client', 'customer', 'purchaser', 'buyer', 'shopper'],['saving (money|cost)', 'affordab', 'savings', 'savings premium'],[10,15]",-,-,-,outcome,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,other customer inclusiveness,
Customer-Inclusiveness,Finalized (SET) pattern development,client support and feedback system,"['consumer', 'user', 'client', 'customer', 'purchaser', 'buyer', 'shopper'],['polic(ies|y)', 'system', 'infrastructure', 'process', 'procedure'],['support', 'feedback'],[10,7,7,15]",-,-,-,practice,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,support/feedback system,
